4	0	4	4	6	0	2	2	25	30	0.455	0	0	0	0	0	5	0	 
4	3	1	4	3	2	1	2	46	32	0.59	1	0	0	0	0	6	0.5	 
4	3	1	4	4	0	2	0	2	2	0.5	1	0	0	0	0	15	0.2	 
4	1	3	4	3	0	7	3	0	0	0	0	0	0	0	0	5	0.2	 
4	0	4	4	-2	2	7	12	0	0	0	0	4	0	0	0	9	0	 
5	0	4	4	2	2	1	8	0	0	0	0	1	0	0	0	4	0	 
5	0	4	4	0	2	11	10	0	0	0	0	1	0	0	0	10	0	 
4	1	3	4	2	2	1	2	0	5	0	0	1	0	0	1	10	0.1	 
4	2	2	4	2	0	0	0	2	3	0.4	1	1	0	0	0	7	0.286	 
4	0	4	4	1	2	3	1	8	33	0.195	0	0	0	0	0	8	0	 
3	3	1	4	-1	2	2	0	0	2	0	1	1	0	0	1	10	0.3	 
5	2	2	4	0	2	8	7	8	7	0.533	1	1	0	0	2	7	0.286	 
3	1	2	3	3	6	9	2	15	4	0.789	0	0	0	0	0	5	0.2	 
5	2	1	3	-3	6	2	2	0	0	0	1	0	0	0	0	7	0.286	 
4	0	3	3	1	0	1	2	0	1	0	0	2	0	0	0	8	0	 
4	2	1	3	1	4	0	4	0	0	0	1	0	0	0	0	4	0.5	 
5	2	1	3	3	2	7	1	1	3	0.25	1	0	0	0	0	5	0.4	 
3	1	2	3	3	0	9	3	24	20	0.545	0	1	0	0	0	6	0.167	 
5	1	2	3	0	0	4	0	0	0	0	1	1	0	0	0	7	0.143	 
4	2	1	3	2	0	10	4	1	0	1	0	0	0	0	1	6	0.333	 
3	1	2	3	1	0	1	2	0	0	0	0	1	0	0	0	7	0.143	 
4	0	3	3	0	2	8	1	28	21	0.571	0	1	0	0	0	4	0	 
4	3	0	3	2	0	2	3	2	4	0.333	2	0	0	0	1	13	0.231	 
5	1	2	3	2	0	10	4	0	0	0	1	1	0	0	0	17	0.059	 
5	2	1	3	3	0	0	0	0	0	0	0	0	0	0	0	8	0.25	 
5	1	2	3	-1	0	6	3	28	43	0.394	1	1	0	0	0	11	0.091	 
5	1	2	3	-2	7	1	1	0	4	0	0	1	0	0	0	14	0.071	 
5	1	2	3	1	0	2	1	0	0	0	0	0	0	0	0	6	0.167	 
4	0	3	3	-3	0	3	5	0	0	0	0	0	0	0	0	15	0	 
5	2	1	3	1	4	2	4	35	41	0.461	0	0	1	0	0	14	0.143	 
5	2	1	3	1	0	5	1	3	1	0.75	0	0	0	0	1	11	0.182	 
4	1	2	3	2	4	3	2	5	2	0.714	0	0	0	0	0	5	0.2	 
